OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_POP1564,P12_ACT1564,TX12_ACT1564,P12_ACTOCC1564,TX12_ACTOCC1564,C12_ACTOCC15P,C12_ACTOCC15P_TCOM,TX12_ACTOCC15P_TCOM,C12_ACT1564_CS1,C12_ACT1564_CS2,C12_ACT1564_CS3,C12_ACT1564_CS4,C12_ACT1564_CS5,C12_ACT1564_CS6,SHAPE_Length,SHAPE_Area
1,750004511,75101,1,751010101,H,Saint-Germain L'Auxerrois 1,35395.54733568,22312.52165249,33459.68930691,Paris,T1,751010101,751010101,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 1,H,00,1,6.44942345194,667.195980614242,548.280030556891,82.1767586267721,498.976548219796,74.7871034475391,512.116122431204,369.906282807873,72.2309387667374,0,41.0004507320519,315.837953536293,107.448656893165,73.2291081471689,7.38813824457188,1083.98880451687,64488.1441503431
2,750004559,75101,1,751010102,A,Saint-Germain l'Auxerrois 2,45971.81770653,4728.31223959,42976.73142515,Paris,T1,751010102,751010102,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 2,A,00,3,6.19872932394,98.3124195564547,45.8583865193108,46.6455680027051,40.2277504202329,40.918279299527,51.8709103175234,16.7210808751267,32.235950309663,0,2.44384694675824,28.8981459959641,9.18050305283758,5.33589052375088,0,1057.13041785437,61981.1554899785
3,750004497,75101,1,751010103,A,Saint-Germain L'Auxerrois 3,29246.55022972,17775.05472709,26203.94232154,Paris,T1,751010103,751010103,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 3,A,00,3,4.60627428378,297.771502105498,196.397729374394,65.9558513778835,183.734878606877,61.7033118709195,200.885904353964,113.987489921216,56.7424032501398,0,19.5710376949951,100.646805554779,45.6372120925887,25.518704019838,9.62401619823479,877.312123236256,46058.4840531542
4,750004460,75101,1,751010104,A,Saint-Germain L'Auxerrois 4,181708.57735121,26416.30045638,109150.20271448,Paris,T1,751010104,751010104,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 4,A,00,3,22.480823003,10.6480801352128,9.76074012394506,91.6666666666667,8.87340011267733,83.3333333333333,8.87340011267733,3.54936004507093,40,0,0,7.09872009014186,2.6620200338032,0,0,2052.89426562416,224788.065371808
5,750004388,75101,1,751010105,D,Tuileries,225540.07297587,11.59944047,2736.06014235,Paris,T1,751010105,751010105,75,00851,75101,Paris 1er Arrondissement,Tuileries,D,00,3,24.8896136921,,,,,,,,,,,,,,,2112.53196424371,248874.958259451
6,750004461,75101,1,751010199,D,Seine et Berges,21293.34152874,0.20978155,0.20978155,Paris,T1,751010199,751010199,75,00851,75101,Paris 1er Arrondissement,Seine et Berges,D,00,3,22.2791701502,,,,,,,,,,,,,,,5146.54351136602,222770.850310065
7,750004421,75101,2,751010201,H,Les Halles 1,44086.61141027,40507.34672484,41712.22754962,Paris,T1,751010201,751010201,75,00851,75101,Paris 1er Arrondissement,Les Halles 1,H,00,1,7.83812271322,1922.37859893751,1633.19554029236,84.9570184143235,1451.46590644867,75.5036446645257,1465.50002239266,1114.81852946476,76.0708640348327,3.46706638439925,105.192139632458,883.262646676408,337.52350516237,206.992330325566,84.4339909584099,1483.00634925857,78374.2143729181
8,750004483,75101,2,751010202,H,Les Halles 2,46064.51836218,41030.73202646,45447.98522994,Paris,T1,751010202,751010202,75,00851,75101,Paris 1er Arrondissement,Les Halles 2,H,00,1,7.01830217999,1259.04362196644,1060.45005154866,84.2266330607672,966.863698021564,76.7935027152966,986.082783560526,605.955092094275,61.4507323519336,0,83.1090071675628,591.343462194532,188.963096301376,172.847809009158,17.3852012074811,1509.73608691935,70176.6659800895
9,750004406,75101,2,751010203,H,Les Halles 3,55295.93082196,54574.52592252,55024.36632084,Paris,T1,751010203,751010203,75,00851,75101,Paris 1er Arrondissement,Les Halles 3,H,00,1,8.99697900339,1718.35022207401,1395.57921127331,81.2162266658815,1245.47954988985,72.4811236900582,1274.81638595136,661.995540059734,51.92869713278,8.32198049892984,108.080734858988,712.53730612721,285.324198804488,223.23270196112,50.7080865420435,1915.55590959031,89961.9198048907
10,750004404,75101,2,751010204,H,Les Halles 4,43697.07243614,38179.12916004,43578.70261191,Paris,T1,751010204,751010204,75,00851,75101,Paris 1er Arrondissement,Les Halles 4,H,00,2,6.5991593135,1798.77285307301,1420.14281022669,78.9506472593541,1275.28184323385,70.8973254213376,1312.79645065744,692.835067676406,52.775513471981,3.36794809599801,57.3445185904653,696.356927205841,307.346619900864,250.19657064313,96.4388859686349,1136.6361721292,65985.9633141768
11,750004464,75101,2,751010205,A,Les Halles 5,59141.48694822,22943.59986441,43916.83517574,Paris,T1,751010205,751010205,75,00851,75101,Paris 1er Arrondissement,Les Halles 5,A,00,3,6.86310947418,,,,,,,,,,,,,,,1179.95736070025,68625.0936582733
