OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_LOG,P12_RP,P12_RSECOCC,P12_LOGVAC,TX12_RSECOCC,TX12_LOGVAC,P12_PMEN,TMM12,P12_RP_PROP,P12_RP_LOC,P12_RP_LOCHLMV,P12_RP_GRAT,TX12_RP_PROP,TX12_RP_LOCHLM,SHAPE_Length,SHAPE_Area
1,750004511,75101,1,751010101,H,Saint-Germain L'Auxerrois 1,35395.54733568,22312.52165249,33459.68930691,Paris,T1,751010101,751010101,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 1,H,00,1,6.44942345194,710.005032448292,501.22274392133,161.174883164589,47.6074053623723,22.7005268693398,6.70522083459168,910.457276746074,1.81647239234015,123.189754198132,318.433706068449,69.9522502671226,59.5992836547491,24.5778460159955,13.9563200424325,1083.98880451687,64488.1441503431
2,750004559,75101,1,751010102,A,Saint-Germain l'Auxerrois 2,45971.81770653,4728.31223959,42976.73142515,Paris,T1,751010102,751010102,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 2,A,00,3,6.19872932394,132.428425028415,84.4897506893541,31.4951277725676,16.4435465664932,23.7827549227515,12.4169313068285,129.13363865761,1.52839412596209,46.8177184223513,37.6720322670028,0,0,55.4123050906936,0,1057.13041785437,61981.1554899785
3,750004497,75101,1,751010103,A,Saint-Germain L'Auxerrois 3,29246.55022972,17775.05472709,26203.94232154,Paris,T1,751010103,751010103,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 3,A,00,3,4.60627428378,257.359048315828,199.637442303836,49.4290331402231,8.29257287176874,19.2062542442901,3.22218042304547,360.394038524246,1.80524271582156,52.4449842511792,117.783676993163,27.9864450879587,29.4087810594932,26.2701142861574,14.0186353646853,877.312123236256,46058.4840531542
4,750004460,75101,1,751010104,A,Saint-Germain L'Auxerrois 4,181708.57735121,26416.30045638,109150.20271448,Paris,T1,751010104,751010104,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 4,A,00,3,22.480823003,5.32403115840829,4.43670005633867,0.88733110206962,0,16.6665272172243,0,10.6480801352128,2.4,0,0,0,4.43670005633867,0,0,2052.89426562416,224788.065371808
5,750004388,75101,1,751010105,D,Tuileries,225540.07297587,11.59944047,2736.06014235,Paris,T1,751010105,751010105,75,00851,75101,Paris 1er Arrondissement,Tuileries,D,00,3,24.8896136921,,,,,,,,,,,,,,,2112.53196424371,248874.958259451
6,750004461,75101,1,751010199,D,Seine et Berges,21293.34152874,0.20978155,0.20978155,Paris,T1,751010199,751010199,75,00851,75101,Paris 1er Arrondissement,Seine et Berges,D,00,3,22.2791701502,,,,,,,,,,,,,,,5146.54351136602,222770.850310065
7,750004421,75101,2,751010201,H,Les Halles 1,44086.61141027,40507.34672484,41712.22754962,Paris,T1,751010201,751010201,75,00851,75101,Paris 1er Arrondissement,Les Halles 1,H,00,1,7.83812271322,1935.01538379432,1532.19807790058,266.811013903291,136.006291990451,13.7885732660228,7.02869305998798,2333.16533842443,1.52275699341781,449.768859314225,1023.07455852206,74.2182012451317,59.3546600642882,29.35448528499,4.84390382128829,1483.00634925857,78374.2143729181
8,750004483,75101,2,751010202,H,Les Halles 2,46064.51836218,41030.73202646,45447.98522994,Paris,T1,751010202,751010202,75,00851,75101,Paris 1er Arrondissement,Les Halles 2,H,00,1,7.01830217999,1472.51040133008,1035.95365527908,259.802845942186,176.753900108813,17.6435321412679,12.003575658899,1718.13463722523,1.65850530906459,201.840120286544,755.901543307781,9.00749108271663,78.2119916847566,19.4835086741568,0.869487842126494,1509.73608691935,70176.6659800895
9,750004406,75101,2,751010203,H,Les Halles 3,55295.93082196,54574.52592252,55024.36632084,Paris,T1,751010203,751010203,75,00851,75101,Paris 1er Arrondissement,Les Halles 3,H,00,1,8.99697900339,1985.01411560299,1405.88851666173,368.01636813539,211.109230805878,18.5397355737995,10.6351501053054,2304.54052410659,1.63920573843132,494.040759326616,811.23923543097,138.030609870502,100.608521904141,35.1408204471086,9.81803380813258,1915.55590959031,89961.9198048907
10,750004404,75101,2,751010204,H,Les Halles 4,43697.07243614,38179.12916004,43578.70261191,Paris,T1,751010204,751010204,75,00851,75101,Paris 1er Arrondissement,Les Halles 4,H,00,2,6.5991593135,1535.01263799462,1258.72139618359,154.697124666444,121.594117144588,10.077905603992,7.92137563788673,2341.83777577077,1.8604893687127,298.131425723737,919.692974981327,250.311885799454,40.8969954785225,23.6852592343043,19.8862025034606,1136.6361721292,65985.9633141768
