OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_RP_VOIT1P,TX12_RP_VOIT1P,C12_MEN,C12_MENPSEUL,TX12_MENPSEUL,C12_NE24F1,C12_NE24F2,C12_NE24F3,C12_NE24F4P,C12_NE24F,TX12_NE24F,SHAPE_Length,SHAPE_Area
1,750004511,75101,1,751010101,H,Saint-Germain L'Auxerrois 1,35395.54733568,22312.52165249,33459.68930691,Paris,T1,751010101,751010101,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 1,H,00,1,6.44942345194,193.142386673284,,501.22274392133,249.283910603685,49.7351554028466,63.2679044078162,42.0457991826343,4.1061838710753,0,109.419887461526,21.8305910473009,1083.98880451687,64488.1441503431
2,750004559,75101,1,751010102,A,Saint-Germain l'Auxerrois 2,45971.81770653,4728.31223959,42976.73142515,Paris,T1,751010102,751010102,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 2,A,00,3,6.19872932394,45.0732747007956,,84.4897506893541,50.03932447216,59.2253191231929,6.54642902175954,0,2.54836543776544,0,9.09479445952498,10.7643760164047,1057.13041785437,61981.1554899785
3,750004497,75101,1,751010103,A,Saint-Germain L'Auxerrois 3,29246.55022972,17775.05472709,26203.94232154,Paris,T1,751010103,751010103,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 3,A,00,3,4.60627428378,75.0171420413011,,201.637462384723,112.363284899971,55.725401208225,26.0242917732031,7.9961271679882,8.88346717925593,0,42.9038861204472,21.2777356018232,877.312123236256,46058.4840531542
4,750004460,75101,1,751010104,A,Saint-Germain L'Auxerrois 4,181708.57735121,26416.30045638,109150.20271448,Paris,T1,751010104,751010104,75,00851,75101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 4,A,00,3,22.480823003,3.54936004507093,,4.43670005633867,1.77468002253547,40,0.887340011267733,0,0,0,0.887340011267733,20,2052.89426562416,224788.065371808
5,750004388,75101,1,751010105,D,Tuileries,225540.07297587,11.59944047,2736.06014235,Paris,T1,751010105,751010105,75,00851,75101,Paris 1er Arrondissement,Tuileries,D,00,3,24.8896136921,,,,,,,,,,0,,2112.53196424371,248874.958259451
6,750004461,75101,1,751010199,D,Seine et Berges,21293.34152874,0.20978155,0.20978155,Paris,T1,751010199,751010199,75,00851,75101,Paris 1er Arrondissement,Seine et Berges,D,00,3,22.2791701502,,,,,,,,,,0,,5146.54351136602,222770.850310065
7,750004421,75101,2,751010201,H,Les Halles 1,44086.61141027,40507.34672484,41712.22754962,Paris,T1,751010201,751010201,75,00851,75101,Paris 1er Arrondissement,Les Halles 1,H,00,1,7.83812271322,266.519254439875,,1530.19805781969,981.134563858317,64.1181420172689,65.5405896529983,65.773475815708,15.9703769198437,0,147.28444238855,9.62518816671412,1483.00634925857,78374.2143729181
8,750004483,75101,2,751010202,H,Les Halles 2,46064.51836218,41030.73202646,45447.98522994,Paris,T1,751010202,751010202,75,00851,75101,Paris 1er Arrondissement,Les Halles 2,H,00,1,7.01830217999,267.454846689387,,1035.95365527908,615.692601897628,59.4324464960513,62.1217604233579,71.7291606382759,14.6644832851558,0,148.51540434679,14.3361050554699,1509.73608691935,70176.6659800895
9,750004406,75101,2,751010203,H,Les Halles 3,55295.93082196,54574.52592252,55024.36632084,Paris,T1,751010203,751010203,75,00851,75101,Paris 1er Arrondissement,Les Halles 3,H,00,1,8.99697900339,372.092060765389,,1405.88851666173,836.910613658792,59.5289458403168,110.563618662532,86.4571165734827,14.6705804282348,2.85019398572703,214.541509649977,15.2602078406191,1915.55590959031,89961.9198048907
10,750004404,75101,2,751010204,H,Les Halles 4,43697.07243614,38179.12916004,43578.70261191,Paris,T1,751010204,751010204,75,00851,75101,Paris 1er Arrondissement,Les Halles 4,H,00,2,6.5991593135,350.385764290288,,1260.72141626447,659.555298605997,52.3157051270108,143.562499718102,98.0971573769402,42.7924278590955,5.4562974910493,289.908382445187,22.9954356850848,1136.6361721292,65985.9633141768
